Country,Cases,Death,Continent
Montenegro,"99,964","1,602",Europe
Pakistan,"942,189","21,723",Asia
Ghana,"94,493",789,Africa
Finland,"93,850",964,Europe
Afghanistan,"93,272","3,683",Asia
China,"91,451","4,636",Asia
MS Zaandam,9,2,
Portugal,"858,072","17,047",Europe
Israel,"839,674","6,430",Asia
Bangladesh,"829,972","13,172",Asia
Hungary,"807,045","29,925",Europe
Cameroon,"80,090","1,310",Africa
Equatorial Guinea,"8,650",120,Africa
Timor-Leste,"8,285",18,Asia
Benin,"8,109",102,Africa
Mongolia,"78,347",369,Asia
Japan (+Diamond Princess),"775,943","14,084",Asia
Faeroe Islands,757,1,Europe
El Salvador,"75,351","2,299",North America
Jordan,"743,877","9,602",Asia
Cyprus,"73,190",373,Asia
Serbia,"714,891","6,962",Europe
Mozambique,"71,538",841,Africa
Switzerland,"700,735","10,859",Europe
Luxembourg,"70,406",818,Europe
Maldives,"70,301",197,Asia
Nicaragua,"7,662",188,North America
Central African Republic,"7,101",98,Africa
Malaysia,"662,457","3,968",Asia
Namibia,"65,089",995,Africa
Austria,"648,732","10,662",Europe
Uganda,"63,099",434,Africa
Falkland Islands,63,0,South America
Singapore,"62,301",34,Asia
Nepal,"610,521","8,465",Asia
Yemen,"6,862","1,349",Asia
Iceland,"6,616",30,Europe
Gambia,"6,016",180,Africa
United Arab Emirates,"599,823","1,730",Asia
Cayman Islands,592,2,North America
Botswana,"59,480",896,Africa
Lebanon,"542,604","7,798",Asia
Morocco,"523,890","9,211",Africa
Macao,52,0,Asia
Tanzania,509,21,Africa
France,"5,740,665","110,420",Europe
Niger,"5,446",192,Africa
Turkey,"5,330,447","48,721",Asia
Russia,"5,222,408","126,801",Europe
Saint Lucia,"5,179",80,North America
San Marino,"5,090",90,Europe
Burundi,"5,013",8,Africa
Jamaica,"49,277",997,North America
Côte d'Ivoire,"47,662",306,Africa
Saudi Arabia,"466,906","7,590",Asia
Wallis & Futuna,445,7,Australia/Oceania
Greenland,44,0,North America
Ecuador,"438,934","21,048",South America
Bulgaria,"420,336","17,900",Europe
Greece,"415,401","12,437",Europe
Senegal,"41,998","1,154",Africa
